tag,root,pos,images
cum_while_penetrated,cum,NOUN,3079
cumdrip,cumdrip,PROPN,21777
cunnilingus,cunnilingus,ADJ,7327
cup,cup,NOUN,112114
cup_ramen,ramen,NOUN,1300
cupcake,cupcake,PROPN,2715
cupless_bra,bra,PROPN,1568
cupping_hands,cupping,VERB,1359
curled_horns,horns,NOUN,9135
curly_hair,hair,NOUN,21851
curry,curry,PROPN,2287
curry_rice,curry,VERB,1227
cursive,cursive,ADJ,862
cursor,cursor,PROPN,783
curtain_grab,grab,VERB,2157
curtains,curtains,NOUN,42635
curtsey,curtsey,PROPN,1413
curvy,curvy,ADJ,25805
cushion,cushion,NOUN,6256
cute_&_girly_(idolmaster),cute,ADJ,899
cutoffs,cutoffs,NOUN,7429
cutout_above_navel,cutout,NOUN,805
cuts,cuts,VERB,3061
cutting_board,cutting,VERB,1066
cutting_hair,cutting,VERB,871
cyberpunk,cyberpunk,NOUN,2274
cyborg,cyborg,PROPN,6241
cyclops,cyclops,NOUN,2269
cyrillic,cyrillic,PROPN,669
d-pad,d,X,2336
d-pad_hair_ornament,ornament,NOUN,2184
d:,d,X,6438
dagger,dagger,VERB,10229
daisy,daisy,NOUN,1892
dakimakura_(medium),dakimakura,PROPN,17935
dakimakura_(object),dakimakura,PROPN,1378
damaged,damaged,VERB,5482
dancer,dancer,NOUN,3339
dancing,dancing,VERB,9015
dandelion,dandelion,NOUN,943
dango,dango,PROPN,5156
danmaku,danmaku,PROPN,5148
dappled_sunlight,sunlight,NOUN,6538
dark,dark,ADJ,10618
dark-skinned_female,female,NOUN,113424
dark-skinned_male,male,NOUN,51506
dark_areolae,areolae,PROPN,968
dark_aura,aura,NOUN,1142
dark_background,background,NOUN,5599
dark_blue_hair,hair,NOUN,4546
dark_elf,elf,INTJ,4253
dark_green_hair,hair,NOUN,1115
dark_nipples,nipples,NOUN,3631
dark_penis,penis,NOUN,1248
dark_persona,persona,NOUN,7716
dark_skin,skin,NOUN,180161
darkness,darkness,NOUN,2946
daruma_doll,doll,NOUN,972
dated,dated,VERB,120702
day,day,NOUN,241785
death,death,NOUN,4012
debris,debris,NOUN,2759
debt,debt,NOUN,1348
decepticon,decepticon,PROPN,1088
deep_penetration,penetration,NOUN,3087
deep_skin,skin,NOUN,8861
deepthroat,deepthroat,PROPN,2844
deer,deer,NOUN,1279
deer_ears,ears,NOUN,1707
deerstalker,deerstalker,NOUN,1239
defeat,defeat,VERB,4144
defloration,defloration,NOUN,3918
demon,demon,NOUN,3783
demon_boy,boy,NOUN,3431
demon_girl,girl,NOUN,48741
demon_horns,horns,NOUN,38950
demon_tail,tail,PROPN,34588
demon_wings,wings,NOUN,22597
denim,denim,NOUN,44731
denim_jacket,jacket,NOUN,1049
denim_shorts,shorts,NOUN,21884
denim_skirt,skirt,PROPN,2067
depth_of_field,depth,NOUN,73254
desert,desert,PROPN,2278
desk,desk,NOUN,26437
desk_lamp,lamp,NOUN,1270
dessert,dessert,NOUN,2174
destruction,destruction,NOUN,1780
detached_collar,collar,NOUN,74327
detached_hair,hair,NOUN,706
detached_sleeves,sleeves,NOUN,294684
detached_wings,wings,NOUN,4541
detective,detective,NOUN,1057
deviantart_username,username,NOUN,1734
diadem,diadem,PROPN,2284
diagonal-striped_bow,bow,NOUN,2299
diagonal-striped_neckwear,neckwear,NOUN,337
diagonal_bangs,bangs,NOUN,2559
diagonal_stripes,stripes,NOUN,5244
diamond-shaped_pupils,pupils,NOUN,1908
diamond_(gemstone),diamond,PROPN,928
diamond_(shape),diamond,PROPN,5367
diamond_(symbol),diamond,PROPN,1558
diaper,diaper,NOUN,1012
dice,dice,VERB,2621
dice_hair_ornament,ornament,NOUN,1101
different_reflection,reflection,NOUN,1582
diffraction_spikes,spikes,NOUN,2707
digimon_(creature),digimon,PROPN,3127
digital_dissolve,dissolve,NOUN,674
digital_media_player,player,NOUN,3513
digitigrade,digitigrade,VERB,1140
dilation_tape,tape,NOUN,631
dildo,dildo,NOUN,15112
dildo_riding,riding,NOUN,1038
dimples_of_venus,dimples,NOUN,4847
dinosaur,dinosaur,NOUN,1513
dirndl,dirndl,NOUN,1429
dirt,dirt,NOUN,644
dirty,dirty,ADJ,6065
dirty_clothes,clothes,NOUN,1785
dirty_face,face,NOUN,2221
dirty_feet,feet,NOUN,868
disembodied_head,head,NOUN,2306
disembodied_limb,limb,NOUN,7175
disembodied_penis,penis,NOUN,4720
disgust,disgust,NOUN,1154
dish,dish,NOUN,25899
disposable_cup,cup,NOUN,8717
dissolving,dissolving,VERB,792
dissolving_clothes,clothes,NOUN,651
dithering,dithering,VERB,754
diving,diving,VERB,734
diving_mask,mask,NOUN,2259
diving_mask_on_head,mask,NOUN,1330
dixie_cup_hat,hat,NOUN,1775
dock,dock,VERB,732
doctor,doctor,NOUN,1243
dodging,dodging,VERB,581
dog,dog,NOUN,20189
dog_boy,boy,NOUN,2436
dog_ears,ears,NOUN,34600
dog_girl,girl,NOUN,14048
dog_tags,tags,NOUN,5164
dog_tail,tail,NOUN,19955
doggystyle,doggystyle,PROPN,21571
doily,doily,ADV,1061
doll,doll,NOUN,16304
doll_hug,hug,NOUN,2488
doll_joints,joints,NOUN,5683
dolphin,dolphin,NOUN,1701
dolphin_shorts,shorts,NOUN,3725
dominatrix,dominatrix,NOUN,1848
domino_mask,mask,PROPN,2674
"don't_say_""lazy""",say,VERB,1048
donation_box,box,NOUN,1431
door,door,NOUN,15024
doorway,doorway,ADV,2560
dot_nose,nose,NOUN,13772
dotted_line,line,NOUN,955
double-breasted,breasted,VERB,12047
double_\m/,\m/,PROPN,864
double_bun,bun,NOUN,82252
double_dildo,dildo,NOUN,873
double_handjob,handjob,NOUN,4706
double_horizontal_stripe,stripe,NOUN,694
double_penetration,penetration,NOUN,7922
double_v,double,ADJ,14522
double_vertical_stripe,stripe,NOUN,967
double_w,w,NOUN,887
doughnut,doughnut,NOUN,7526
doughnut_hair_bun,bun,NOUN,1445
dougi,dougi,PROPN,4994
doujin_cover,cover,PROPN,24218
dove,dove,PROPN,1752
downblouse,downblouse,NOUN,6283
dowsing_rod,dowsing,VERB,1602
doyagao,doyagao,VERB,1749
dragging,dragging,VERB,834
dragon,dragon,PROPN,15093
dragon_girl,girl,NOUN,18655
dragon_horns,horns,NOUN,22717
dragon_tail,tail,NOUN,14875
dragon_wings,wings,NOUN,3815
dragonfly,dragonfly,NOUN,707
draph,draph,PROPN,8843
drawer,drawer,NOUN,1963
drawing,drawing,VERB,4132
drawing_bow,bow,NOUN,1334
drawing_sword,drawing,VERB,1090
drawing_tablet,drawing,VERB,2158
drawr,drawr,PROPN,0
drawstring,drawstring,VERB,13432
dream_soul,soul,NOUN,698
dreaming,dreaming,VERB,2022
dress,dress,NOUN,828628
dress_bow,bow,NOUN,3120
dress_flower,flower,NOUN,894
dress_lift,lift,NOUN,24641
dress_pull,pull,VERB,4141
dress_removed,removed,VERB,896
dress_shirt,shirt,NOUN,85656
dress_swimsuit,swimsuit,PROPN,734
dress_tug,tug,NOUN,1647
dressing,dressing,VERB,5282
dressing_another,dressing,VERB,827
drill,drill,NOUN,1799
drill_hair,hair,NOUN,59127
drill_locks,locks,NOUN,1705
drink,drink,VERB,15224
drinking,drinking,VERB,12744
drinking_glass,glass,NOUN,25253
drinking_straw,drinking,NOUN,18772
dripping,dripping,VERB,7216
driving,driving,VERB,2234
drone,drone,NOUN,1772
drooling,drooling,VERB,35944
drop_shadow,drop,VERB,3120
dropping,dropping,VERB,1070
drugged,drugged,VERB,629
drugs,drugs,NOUN,942
drum,drum,NOUN,3351
drum_(container),drum,PROPN,1107
drum_magazine,magazine,NOUN,591
drum_set,set,NOUN,1092
drumsticks,drumsticks,VERB,2307
drunk,drunk,ADJ,10016
drying,drying,VERB,1465
drying_hair,drying,VERB,972
dual_persona,persona,NOUN,26050
dual_wielding,wielding,NOUN,22932
duck,duck,NOUN,3095
dudou,dudou,PROPN,973
duel,duel,NOUN,3278
duel_academy_uniform_(yu-gi-oh!_gx),uniform,NOUN,985
duel_disk,disk,NOUN,677
duel_monster,monster,NOUN,7533
duffel_bag,bag,NOUN,2543
duffel_coat,coat,NOUN,1221
dumbbell,dumbbell,NOUN,1106
dumpling,dumpling,NOUN,808
dusk,dusk,PROPN,2379
dust,dust,NOUN,2051
dust_cloud,cloud,NOUN,1218
duster,duster,NOUN,1059
dutch_angle,angle,NOUN,89070
dvd_cover,cover,PROPN,928
dynamax_band,band,NOUN,2189
eagle,eagle,PROPN,1540
ear_biting,biting,NOUN,971
ear_blush,blush,NOUN,5475
ear_bow,bow,VERB,3969
ear_covers,covers,VERB,4688
ear_ornament,ornament,NOUN,3189
ear_piercing,piercing,VERB,35617
ear_protection,protection,NOUN,736
ear_ribbon,ribbon,NOUN,2714
ear_tag,tag,NOUN,2182
ear_wiggle,wiggle,VERB,778
earbuds,earbuds,NOUN,2958
earclip,earclip,PROPN,2735
earmuffs,earmuffs,NOUN,11440
earphones,earphones,NOUN,7205
earpiece,earpiece,NOUN,1905
earrings,earrings,NOUN,323775
ears,ears,NOUN,0
ears_down,ears,VERB,2639
ears_through_headwear,ears,NOUN,6353
ears_visible_through_hair,ears,NOUN,902
earth_(ornament),earth,NOUN,1505
earth_(planet),earth,NOUN,3614
easel,easel,PROPN,998
east_asian_architecture,architecture,NOUN,6684
easter,easter,PROPN,660
easter_egg,egg,NOUN,856
eastern_dragon,dragon,NOUN,1696
eating,eating,VERB,58151
eel,eel,PROPN,636
egasumi,egasumi,PROPN,2933
egg,egg,NOUN,6504
egg_vibrator,vibrator,NOUN,3349
eggplant,eggplant,NOUN,1259
egyptian,egyptian,PROPN,3227
egyptian_clothes,clothes,NOUN,2371
ehoumaki,ehoumaki,PROPN,800
eighth_note,note,NOUN,15278
ejaculation,ejaculation,NOUN,33622
elbow_gloves,gloves,NOUN,222207
elbow_pads,pads,NOUN,4650
elbow_rest,rest,NOUN,3399
elbows_on_table,elbows,VERB,776
eldritch_abomination,abomination,NOUN,786
electric_fan,fan,PROPN,2572
electric_guitar,guitar,PROPN,5021
electric_plug,plug,NOUN,681
electric_socket,socket,NOUN,786
electricity,electricity,NOUN,12518
elephant,elephant,NOUN,777
elf,elf,INTJ,38822
elite_ii_(arknights),ii,PROPN,1573
ema,ema,PROPN,1170
embarrassed,embarrassed,VERB,64271
embellished_costume,costume,NOUN,1586
embers,embers,NOUN,2484
emblem,emblem,NOUN,14254
emerald_(gemstone),emerald,PROPN,1888
emoji,emoji,NOUN,1223
emoticon,emoticon,NOUN,619
emotionless_sex,sex,NOUN,625
emphasis_lines,lines,NOUN,20635
employee_uniform,uniform,NOUN,3787
empty_eyes,eyes,NOUN,21378
energy,energy,NOUN,4162
energy_ball,ball,NOUN,1880
energy_drink,drink,NOUN,811
energy_gun,gun,NOUN,3063
energy_sword,sword,NOUN,3399
energy_wings,wings,NOUN,2068
english_text,text,NOUN,116714
engrish_text,text,NOUN,6667
enmaided,enmaided,PROPN,16470
enpera,enpera,NOUN,2213
entangled,entangled,VERB,587
envelope,envelope,PROPN,3194
epaulettes,epaulettes,NOUN,22771
eraser,eraser,NOUN,2244
erect_clitoris,clitoris,NOUN,1029
erection,erection,NOUN,54627
erection_under_clothes,erection,NOUN,6422
eromanga,eromanga,PROPN,0
error,error,NOUN,6318
erune,erune,PROPN,7689
evening,evening,NOUN,4414
evening_gown,gown,NOUN,2334
everyone,everyone,PRON,12563
evil,evil,NOUN,723
evil_grin,grin,NOUN,4061
evil_smile,smile,NOUN,9058
evolutionary_line,line,NOUN,2176
excalibur_(fate/stay_night),stay,NOUN,3313
excalibur_morgan_(fate),morgan,PROPN,1187
excessive_cum,cum,NOUN,1400
excessive_pubic_hair,hair,NOUN,1418
excited,excited,ADJ,812
exercise,exercise,VERB,2669
exhibitionism,exhibitionism,NOUN,5146
exploding_clothes,exploding,VERB,644
explosion,explosion,NOUN,8015
explosive,explosive,ADJ,3332
exposed_pocket,exposed,VERB,656
expression_chart,chart,NOUN,703
expressionless,expressionless,NOUN,59858
expressions,expressions,NOUN,5570
expressive_clothes,clothes,NOUN,1392
expressive_hair,hair,NOUN,1427
extra,extra,ADJ,2813
extra_arms,arms,NOUN,5320
extra_ears,ears,NOUN,28896
extra_eyes,eyes,NOUN,5325
extra_mouth,mouth,NOUN,1033
eye_contact,contact,NOUN,27564
eye_focus,focus,NOUN,1735
eye_mask,mask,NOUN,1860
eye_of_horus,eye,NOUN,1186
eyeball,eyeball,PROPN,13464
eyebrow_piercing,piercing,VERB,1265
eyebrows,eyebrows,NOUN,43690
eyebrows_behind_hair,eyebrows,NOUN,18025
eyebrows_visible_through_hair,eyebrows,NOUN,0
eyelashes,eyelashes,VERB,87193
eyeliner,eyeliner,NOUN,11228
eyepatch,eyepatch,PROPN,56555
eyepatch_bikini,bikini,PROPN,2513
eyepatch_removed,removed,VERB,811
eyes_visible_through_hair,eyes,NOUN,48851
eyeshadow,eyeshadow,ADV,25318
eyewear_hang,hang,PROPN,963
eyewear_on_head,eyewear,NOUN,30009
eyewear_on_headwear,eyewear,NOUN,1407
eyewear_removed,removed,VERB,7702
face,face,NOUN,25927
face-to-face,face,NOUN,7617
face_to_breasts,face,NOUN,1894
facebook_username,username,NOUN,687
faceless,faceless,ADJ,26047
faceless_female,female,NOUN,4479
faceless_male,male,NOUN,19830
facepaint,facepaint,NOUN,9782
facepalm,facepalm,PROPN,977
facial,facial,ADJ,34753
facial_hair,hair,NOUN,67681
facial_mark,mark,NOUN,60575
facial_tattoo,tattoo,NOUN,7062
facing_another,facing,VERB,5203
facing_away,facing,VERB,12124
facing_viewer,facing,VERB,30529
fading,fading,VERB,605
failure,failure,NOUN,1922
fairy,fairy,PROPN,10733
fairy_wings,wings,NOUN,13172
fake_animal_ears,ears,NOUN,71424
fake_antlers,antlers,NOUN,1174
fake_cover,cover,NOUN,1101
fake_facial_hair,hair,NOUN,1397
fake_horns,horns,NOUN,10555
fake_mustache,mustache,NOUN,1201
fake_screenshot,screenshot,NOUN,4911
fake_tail,tail,NOUN,14828
fake_wings,wings,NOUN,1214
falchion_(fire_emblem),falchion,NOUN,926
fallen_down,fallen,VERB,1521
falling,falling,VERB,7864
falling_leaves,leaves,NOUN,3701
falling_petals,petals,NOUN,5441
false_smile,smile,NOUN,2022
family,family,NOUN,4858
family_crest,crest,PROPN,767
fang,fang,X,218303
fang_out,fang,VERB,9227
fangs,fangs,NOUN,63683
fangs_out,fangs,VERB,1476
fanny_pack,pack,NOUN,1725
fantasy,fantasy,NOUN,15245
fashion,fashion,NOUN,2582
fat,fat,ADJ,6705
fat_man,man,NOUN,4115
fat_mons,mons,NOUN,5791
fat_rolls,rolls,NOUN,707
father_and_daughter,father,NOUN,4869
father_and_son,father,NOUN,3144
faucet,faucet,PRON,1777
faulds,faulds,NOUN,6127
faux_figurine,figurine,NOUN,1576
faux_traditional_media,media,NOUN,2298
feather-trimmed_sleeves,sleeves,NOUN,2202
feather_boa,boa,PROPN,2893
feather_earrings,earrings,NOUN,2013
feather_hair,hair,NOUN,2211
feather_hair_ornament,ornament,NOUN,9887
feather_trim,trim,VERB,2580
feathered_wings,wings,NOUN,30895
feathers,feathers,NOUN,45817
fedora,fedora,X,4487
feeding,feeding,VERB,6399
feet,feet,NOUN,122714
feet_out_of_frame,feet,NOUN,72030
feet_together,together,ADV,82
feet_up,feet,NOUN,3848
fellatio,fellatio,PROPN,43530
fellatio_gesture,gesture,NOUN,1726
female_ejaculation,ejaculation,NOUN,5405
female_orgasm,orgasm,NOUN,5549
female_pervert,pervert,NOUN,5370
female_pov,pov,NOUN,2372
female_pubic_hair,hair,NOUN,60286
female_service_cap,cap,NOUN,575
femdom,femdom,PROPN,11150
fence,fence,NOUN,15490
ferret,ferret,PROPN,740
ferris_wheel,wheel,NOUN,1175
fertilization,fertilization,NOUN,1362
festival,festival,NOUN,2117
fetal_position,position,NOUN,2629
fewer_digits,digits,NOUN,1884
fff_threesome,threesome,PROPN,1556
ffm_threesome,threesome,PROPN,6994
fidgeting,fidgeting,VERB,703
field,field,NOUN,8367
fiery_hair,hair,NOUN,1342
fiery_horns,horns,NOUN,1264
fiery_wings,wings,NOUN,658
fighter_jet,jet,NOUN,1564
fighting,fighting,VERB,2908
fighting_stance,stance,NOUN,16230
figure,figure,NOUN,3273
film_grain,grain,NOUN,3607
fine_art_parody,parody,NOUN,2179
fine_fabric_emphasis,emphasis,NOUN,1695
finger_biting,biting,VERB,795
finger_gun,gun,NOUN,3123
finger_in_another's_mouth,finger,NOUN,2240
finger_in_mouth,finger,NOUN,0
finger_on_trigger,finger,NOUN,2857
finger_sucking,sucking,VERB,655
finger_to_cheek,finger,NOUN,2527
finger_to_face,finger,NOUN,1360
finger_to_mouth,finger,NOUN,28157
finger_to_own_chin,finger,NOUN,1817
fingering,fingering,VERB,22960
fingering_through_clothes,fingering,VERB,1221
fingering_through_panties,fingering,VERB,626
fingerless_gloves,gloves,NOUN,169826
fingernails,fingernails,VERB,105324
fingers,fingers,NOUN,1533
fingers_together,fingers,VERB,3862
fingersmile,fingersmile,PROPN,684
fins,fins,NOUN,3293
fire,fire,NOUN,45985
fireflies,fireflies,NOUN,1559
firelock,firelock,NOUN,582
fireplace,fireplace,NOUN,1188
fireworks,fireworks,NOUN,6869
firing,firing,VERB,4941
first_aid_kit,kit,NOUN,669
fish,fish,NOUN,23986
fish_boy,boy,NOUN,750
fish_girl,girl,NOUN,1597
fish_hair_ornament,ornament,NOUN,1487
fish_print,print,NOUN,1088
fish_tail,tail,NOUN,5890
fisheye,fisheye,PROPN,3676
fishing,fishing,NOUN,1738
fishing_line,line,NOUN,760
fishing_rod,rod,NOUN,3484
fishnet_bodysuit,bodysuit,PROPN,698
fishnet_gloves,gloves,NOUN,1073
fishnet_legwear,legwear,PROPN,8476
fishnets,fishnets,NOUN,35825
fist_bump,bump,NOUN,667
flaccid,flaccid,ADJ,3606
flag,flag,NOUN,12204
flag_background,background,NOUN,789
flag_print,print,NOUN,5348
flail,flail,VERB,631
flailing,flailing,VERB,588
flame,flame,NOUN,5056
flame_print,print,NOUN,1471
flaming_eye,eye,NOUN,2576
flaming_sword,sword,NOUN,813
flaming_weapon,weapon,NOUN,924
flapping,flapping,VERB,664
flashback,flashback,NOUN,1221
flashing,flashing,VERB,3143
flashlight,flashlight,NOUN,1143
flask,flask,NOUN,2353
flat_ass,ass,NOUN,2615
flat_cap,cap,NOUN,11566
flat_chest,chest,NOUN,124692
flat_chest_grab,grab,NOUN,642
flat_color,color,NOUN,5414
flats,flats,NOUN,2737
fleeing,fleeing,VERB,2079
fleur_de_lapin_uniform,uniform,NOUN,946
flexible,flexible,ADJ,3646
flexing,flexing,VERB,1647
flight_deck,deck,NOUN,4517
flip-flops,flops,NOUN,2790
flip_phone,flip,VERB,1328
flipped_hair,flipped,VERB,11952
flippers,flippers,NOUN,594
floating,floating,VERB,24611
floating_book,book,NOUN,673
floating_cape,cape,NOUN,756
floating_hair,hair,NOUN,73408
floating_island,island,NOUN,946
floating_object,object,NOUN,4961
flock,flock,VERB,1102
floor,floor,NOUN,3356
floppy_ears,ears,NOUN,3969
floral_background,background,NOUN,13811
floral_print,print,NOUN,55946
flower,flower,NOUN,407356
flower-shaped_pupils,pupils,NOUN,3353
flower_(symbol),flower,NOUN,2131
flower_bracelet,bracelet,NOUN,777
flower_earrings,earrings,NOUN,2036
flower_field,field,NOUN,4872
flower_knot,knot,NOUN,4253
flower_necklace,necklace,NOUN,1144
flower_ornament,ornament,NOUN,924
flower_pot,pot,NOUN,2377
flower_wreath,wreath,NOUN,1838
fluffy,fluffy,ADJ,1813
flustered,flustered,VERB,1231
flute,flute,NOUN,1926
flying,flying,VERB,23691
flying_kick,kick,NOUN,950
flying_sweatdrops,flying,VERB,55742
flying_teardrops,teardrops,NOUN,645
foam,foam,NOUN,939
focused,focused,VERB,665
fog,fog,PROPN,3482
folded,folded,VERB,6782
folded_hair,hair,NOUN,709
folded_leg,leg,NOUN,0
folded_ponytail,ponytail,NOUN,19200
folding_chair,chair,NOUN,985
folding_fan,fan,NOUN,14396
foliage,foliage,NOUN,828
food,food,NOUN,291585
food-themed_clothes,clothes,NOUN,1305
food-themed_hair_ornament,ornament,NOUN,11718
food_focus,focus,NOUN,3709
food_in_mouth,food,NOUN,10358
food_on_body,food,NOUN,3279
food_on_face,food,NOUN,13389
food_on_head,food,NOUN,2804
food_print,print,NOUN,3402
food_stand,stand,VERB,880
foot_focus,focus,NOUN,11419
foot_hold,hold,VERB,698
foot_out_of_frame,foot,VERB,7545
foot_up,foot,VERB,1422
footjob,footjob,NOUN,5403
footprints,footprints,NOUN,1818
footwear_bow,bow,NOUN,3176
footwear_ribbon,ribbon,NOUN,960
forced_orgasm,forced,VERB,746
forehead,forehead,PROPN,27716
forehead-to-forehead,forehead,NOUN,1367
forehead_jewel,jewel,PROPN,6901
forehead_kiss,kiss,VERB,0
forehead_mark,mark,VERB,16072
forehead_protector,protector,NOUN,5280
foreshortening,foreshortening,VERB,34651
foreskin,foreskin,PROPN,7011
forest,forest,PROPN,24716
fork,fork,VERB,14888
forked_eyebrows,eyebrows,NOUN,3059
forked_tongue,forked,VERB,1068
formal,formal,ADJ,55639
fountain,fountain,PROPN,1167
four-leaf_clover,clover,NOUN,2722
fourth_wall,wall,NOUN,2264
fox,fox,NOUN,4864
fox_boy,boy,NOUN,1641
fox_ears,ears,NOUN,91518
fox_girl,girl,NOUN,38683
fox_mask,mask,PROPN,7677
fox_shadow_puppet,puppet,NOUN,5088
fox_tail,tail,NOUN,71545
framed,framed,VERB,3536
framed_breasts,breasts,NOUN,3334
freckles,freckles,NOUN,23910
freediving,freediving,VERB,1690
french_braid,braid,PROPN,28030
french_flag,flag,NOUN,729
french_fries,fries,NOUN,2102
french_kiss,kiss,NOUN,7569
french_text,text,NOUN,1113
fried_egg,egg,NOUN,1857
friends,friends,NOUN,1222
frilled_apron,apron,NOUN,20734
frilled_bikini,bikini,NOUN,22762
frilled_bow,bow,NOUN,7020
frilled_bra,bra,NOUN,6389
frilled_capelet,capelet,NOUN,1740
frilled_choker,choker,NOUN,4662
frilled_collar,collar,NOUN,4121
frilled_cuffs,cuffs,NOUN,1529
frilled_dress,dress,NOUN,48540
frilled_gloves,gloves,NOUN,3250
frilled_hair_tubes,tubes,NOUN,2478
frilled_hairband,hairband,NOUN,6050
frilled_hat,hat,NOUN,3708
frilled_kimono,kimono,NOUN,2477
frilled_legwear,legwear,NOUN,3178
frilled_leotard,leotard,NOUN,771
frilled_panties,panties,NOUN,6981
frilled_pillow,pillow,NOUN,4019
frilled_ribbon,ribbon,NOUN,1706
frilled_shirt,shirt,NOUN,10148
frilled_shirt_collar,collar,NOUN,20642
frilled_shorts,shorts,NOUN,988
frilled_skirt,skirt,NOUN,45791
frilled_sleeves,sleeves,NOUN,40674
frilled_swimsuit,swimsuit,NOUN,2986
frills,frills,NOUN,301903
fringe_trim,trim,NOUN,6431
frog,frog,NOUN,12238
frog_girl,girl,NOUN,627
frog_hair_ornament,ornament,NOUN,14597
frog_print,print,NOUN,1018
frogtie,frogtie,NOUN,967
from_above,from,ADP,63613
from_behind,from,ADP,148482
from_below,from,ADP,54150
from_outside,from,ADP,963
from_side,from,ADP,121141
front-print_panties,panties,NOUN,614
front-tie_bikini,bikini,NOUN,0
front-tie_top,top,NOUN,32080
front_ponytail,ponytail,NOUN,6193
front_zipper_swimsuit,swimsuit,NOUN,623
frottage,frottage,NOUN,1310
frown,frown,VERB,65295
frozen,frozen,VERB,788
fruit,fruit,NOUN,73758
fruit_on_head,fruit,NOUN,571
frying_pan,frying,VERB,2806
fucked_silly,fucked,VERB,6468
full-body_tattoo,tattoo,NOUN,1336
full-face_blush,blush,NOUN,17052
full-length_zipper,zipper,NOUN,1155
full-package_futanari,futanari,NOUN,1329
full_armor,armor,NOUN,4730
full_body,body,NOUN,456931
full_moon,moon,NOUN,27680
full_nelson,nelson,NOUN,1709
fume,fume,NOUN,1063
fundoshi,fundoshi,PROPN,7334
fur,fur,NOUN,5640
fur-trimmed_boots,boots,NOUN,3677
fur-trimmed_cape,cape,NOUN,5233
fur-trimmed_capelet,capelet,NOUN,5143
fur-trimmed_cloak,cloak,NOUN,1155
fur-trimmed_coat,coat,NOUN,6495
fur-trimmed_dress,dress,NOUN,4473
fur-trimmed_gloves,gloves,NOUN,6308
fur-trimmed_headwear,headwear,NOUN,3179
fur-trimmed_hood,hood,NOUN,2661
fur-trimmed_jacket,jacket,NOUN,11749
fur-trimmed_kimono,kimono,NOUN,953
fur-trimmed_legwear,legwear,NOUN,2153
fur-trimmed_shorts,shorts,NOUN,922
fur-trimmed_skirt,skirt,NOUN,1257
fur-trimmed_sleeves,sleeves,NOUN,7070
fur_boots,boots,NOUN,895
fur_cape,cape,NOUN,901
fur_coat,coat,NOUN,2254
fur_collar,collar,NOUN,21813
fur_hat,hat,NOUN,4570
fur_scarf,scarf,NOUN,2022
fur_trim,trim,NOUN,92338
furigana,furigana,PROPN,999
furisode,furisode,PROPN,3167
furoshiki,furoshiki,PROPN,546
furrowed_brow,brow,NOUN,14704
furry,furry,NOUN,28040
furry_female,female,NOUN,14590
furry_male,male,NOUN,9583
furry_with_furry,furry,ADJ,1289
furry_with_non-furry,furry,ADJ,2740
fusion,fusion,NOUN,4075
futa_on_male,futa,PROPN,1130
futa_with_female,futa,PROPN,8470
futa_with_futa,futa,PROPN,1574
futa_with_male,futa,PROPN,2336
futanari,futanari,X,21057
futasub,futasub,PROPN,847
futon,futon,PROPN,7192
fuuin_no_tsue,fuuin,PROPN,1120
g-string,string,NOUN,2488
gae_bolg_(fate),bolg,PROPN,3020
gae_dearg_(fate),dearg,NOUN,605
gag,gag,NOUN,14242
gagged,gagged,VERB,11433
gaijin_4koma,gaijin,NOUN,539
gakuran,gakuran,PROPN,13324
galaxy,galaxy,NOUN,718
game_boy,boy,NOUN,741
game_console,console,NOUN,3860
game_controller,controller,NOUN,6160
gamepad,gamepad,PROPN,1413
gameplay_mechanics,mechanics,NOUN,8289
gangbang,gangbang,PROPN,13291
ganguro,ganguro,PROPN,809
gao,gao,PROPN,649
gap_(touhou),gap,NOUN,8435
gaping,gaping,VERB,2694
garden,garden,NOUN,1474
garreg_mach_monastery_uniform,uniform,NOUN,4414
garrison_cap,cap,NOUN,9173
garter_belt,belt,NOUN,22891
garter_straps,straps,NOUN,62980
garters,garters,NOUN,0
gas_mask,mask,NOUN,2878
gate,gate,PROPN,1879
gathers,gathers,VERB,1189
gatling_gun,gatling,VERB,1778
gauntlets,gauntlets,NOUN,38337
gears,gears,NOUN,4437
gekkoukan_high_school_uniform,uniform,NOUN,2676
gem,gem,NOUN,36419
gem_uniform_(houseki_no_kuni),uniform,NOUN,2619
genderswap,genderswap,PROPN,34917
genderswap_(ftm),genderswap,PROPN,7654
genderswap_(mtf),genderswap,PROPN,26870
german_clothes,clothes,NOUN,1625
german_flag,flag,NOUN,1244
german_flag_bikini,bikini,NOUN,810
german_text,text,NOUN,1563
germany,germany,PROPN,622
gerudo,gerudo,PROPN,739
gesture,gesture,NOUN,563
gesugao,gesugao,VERB,657
geta,geta,NOUN,15110
ghost,ghost,NOUN,19467
ghost_costume,costume,NOUN,873
ghost_tail,tail,NOUN,2819
giant,giant,NOUN,9060
giantess,giantess,NOUN,6501
gift,gift,NOUN,26349
gift_bag,bag,NOUN,1119
gift_box,box,PROPN,12831
gigantic_breasts,breasts,NOUN,5465
gills,gills,NOUN,863
ginkgo_leaf,leaf,NOUN,1145
girl_on_top,girl,NOUN,42998
girl_sandwich,sandwich,NOUN,6062
giving,giving,VERB,2463
giving_up_the_ghost,giving,VERB,1190
glaive,glaive,NOUN,943
glaring,glaring,VERB,4805
glass,glass,NOUN,12400
