tag,root,pos,images
anal_beads,beads,NOUN,4940
anal_fingering,fingering,NOUN,2259
anal_hair,hair,NOUN,1085
anal_object_insertion,insertion,NOUN,9844
anal_tail,tail,NOUN,4008
analog_clock,clock,NOUN,924
anchor,anchor,PROPN,12615
anchor_choker,choker,PROPN,817
anchor_hair_ornament,ornament,NOUN,7065
anchor_necklace,necklace,PROPN,832
anchor_print,print,NOUN,1097
anchor_symbol,symbol,NOUN,14946
androgynous,androgynous,ADJ,27959
android,android,PROPN,14206
angel,angel,NOUN,13888
angel_and_devil,angel,NOUN,1203
angel_wings,wings,NOUN,20064
anger_vein,vein,PROPN,31749
anglerfish,anglerfish,NOUN,909
angora_rabbit,rabbit,NOUN,1048
angry,angry,ADJ,30367
anilingus,anilingus,ADJ,1172
animal,animal,NOUN,65767
animal_bag,bag,NOUN,1226
animal_collar,collar,NOUN,5394
animal_costume,costume,NOUN,11369
animal_ear_fluff,fluff,NOUN,100460
animal_ear_legwear,legwear,PROPN,1257
animal_ears,ears,NOUN,712456
animal_focus,focus,NOUN,7320
animal_hands,hands,NOUN,20493
animal_hat,hat,NOUN,5798
animal_hood,hood,NOUN,16776
animal_hug,hug,NOUN,1201
animal_nose,nose,NOUN,5482
animal_on_arm,animal,NOUN,771
animal_on_head,animal,NOUN,8474
animal_on_lap,animal,NOUN,954
animal_on_shoulder,animal,NOUN,4209
animal_print,print,NOUN,42200
animal_skull,skull,NOUN,836
animal_slippers,slippers,NOUN,650
animalization,animalization,NOUN,5970
anime_coloring,coloring,NOUN,2529
animification,animification,NOUN,8363
ankh,ankh,INTJ,1193
ankle_boots,boots,NOUN,11921
ankle_cuffs,cuffs,NOUN,2218
ankle_grab,grab,NOUN,727
ankle_lace-up,lace,NOUN,1954
ankle_ribbon,ribbon,NOUN,2758
ankle_socks,socks,NOUN,2032
ankle_strap,strap,NOUN,1276
ankle_wrap,wrap,NOUN,913
anklet,anklet,PROPN,15235
anniversary,anniversary,NOUN,6745
announcement_celebration,celebration,NOUN,609
annoyed,annoyed,VERB,7746
antenna_hair,hair,NOUN,46996
antennae,antennae,NOUN,14968
anti-materiel_rifle,rifle,NOUN,1758
antique_firearm,firearm,NOUN,899
antlers,antlers,NOUN,9674
anus,anus,NOUN,75331
anus_peek,peek,NOUN,3006
anzio_military_uniform,uniform,NOUN,975
anzio_school_uniform,uniform,NOUN,2130
